City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
168,la passe,45.5549,-0.8967,79.03,66,99,14.99,FR,1685474615
169,namasuba,0.6894,32.4214,63.91,98,100,3.47,UG,1685474617
170,port elizabeth,-33.918,25.5701,59.81,89,0,8.05,ZA,1685474618
171,jawf al maqbabah,13.8378,45.8349,82.69,57,100,0.85,YE,1685474620
172,badger,64.8,-147.5333,43.93,93,100,6.91,US,1685474621
173,sanchor,24.7553,71.7722,84.76,40,98,1.32,IN,1685474622
174,constantia,44.1833,28.65,61.48,70,100,8.5,RO,1685474624
175,port lincoln,-34.7333,135.8667,61.29,72,100,14.32,AU,1685474078
176,kisangani,0.5167,25.2,72.46,97,93,1.19,CD,1685474626
177,pisco,-13.7,-76.2167,71.65,68,100,6.91,PE,1685473877
178,stephenville,32.2207,-98.2023,84.02,53,0,4.61,US,1685474629
179,tomatlan,19.9333,-105.25,95.92,33,0,12.64,MX,1685474630
180,remire-montjoly,4.9167,-52.2667,86.04,66,20,12.66,GF,1685474328
181,hawkesbury,45.6001,-74.616,79.05,61,39,7.34,CA,1685474632
182,tezu,27.9167,96.1667,78.22,60,96,4.23,IN,1685474634
183,pasni,25.2631,63.471,82.35,88,99,7.38,PK,1685474635
184,isetskoye,56.4858,65.3226,60.87,59,15,4.59,RU,1685474636
185,batticaloa,7.7102,81.6924,82.6,73,100,0.63,LK,1685474457
186,choma,-16.8065,26.9531,59.67,66,4,4.85,ZM,1685474639
187,saint-francois,46.4154,3.9054,71.04,49,0,4.61,FR,1685474447
188,margaret river,-33.95,115.0667,60.53,89,63,3.44,AU,1685474642
189,illizi,26.4833,8.4667,91.2,10,0,12.08,DZ,1685474643
190,arraial do cabo,-22.9661,-42.0278,71.46,78,75,3.44,BR,1685474515
191,ghat,24.9647,10.1728,92.14,8,1,5.3,LY,1685474093
192,prado,-17.3411,-39.2208,73.74,86,16,12.37,BR,1685474422
193,nagqu,31.5,92.0,41.99,55,99,6.53,CN,1685474650
194,udachny,66.4167,112.4,32.45,74,64,14.67,RU,1685474651
195,tralee,52.2704,-9.7026,73.65,35,0,9.22,IE,1685474652
196,taoudenni,22.6783,-3.9836,94.41,12,40,12.21,ML,1685474654
197,jindabyne,-36.4167,148.6333,46.26,93,100,5.01,AU,1685474655
198,laguna,38.421,-121.4238,70.72,51,0,10.36,US,1685474656
199,lazaro cardenas,17.9583,-102.2,88.03,57,0,13.73,MX,1685474384
200,saldanha,-33.0117,17.9442,57.61,93,100,12.73,ZA,1685474162
201,isangel,-19.55,169.2667,69.91,88,75,0.0,VU,1685474131
202,kourou,5.1552,-52.6478,86.05,77,100,9.26,GF,1685474661
203,balykshi,47.0667,51.8667,87.8,11,40,24.61,KZ,1685474663
204,tsiombe,-25.3,45.4833,68.86,82,1,9.82,MG,1685474664
205,jimma,7.6667,36.8333,59.41,94,100,2.1,ET,1685474665
206,lefkada,38.8275,20.7019,66.11,82,75,9.22,GR,1685474448
207,leninskoye,41.7589,69.3864,67.1,35,0,3.89,KZ,1685474668
208,urucui,-7.2294,-44.5561,92.93,36,90,10.27,BR,1685474669
209,soran,49.78,72.8506,59.49,75,68,6.6,KZ,1685474670
210,labrador city,52.9463,-66.9114,76.91,22,75,11.5,CA,1685474672
211,axim,4.8699,-2.2405,80.67,80,15,7.72,GH,1685474673
212,markala,13.7021,-6.0659,103.03,14,5,8.55,ML,1685474676
213,meadow lakes,61.6247,-149.6011,47.48,74,100,3.44,US,1685474322
214,broome,42.2506,-75.833,81.21,36,0,7.0,US,1685474678
215,la ronge,55.1001,-105.2842,73.65,27,75,8.05,CA,1685474679
216,kidal,18.4411,1.4078,98.82,15,57,10.58,ML,1685474682
217,eaton rapids,42.5092,-84.6558,88.45,36,5,6.89,US,1685474683
218,san sebastian de la gomera,28.0916,-17.1133,73.78,60,0,6.91,ES,1685474684
219,itaueira,-7.6033,-43.0256,93.18,31,50,9.13,BR,1685474686
220,puerto lempira,15.2667,-83.7667,91.54,62,75,9.22,HN,1685474688
221,fort irwin,35.2627,-116.6848,76.53,20,0,6.91,US,1685474689
222,torit,4.4133,32.5678,77.4,63,9,3.33,SS,1685474691
223,northam,51.0333,-4.2167,62.76,67,0,14.16,GB,1685474692
224,nabire,-3.3667,135.4833,77.02,92,98,3.2,ID,1685474693
225,howard springs,-12.497,131.047,69.71,67,69,7.29,AU,1685474695
226,yuanping,38.7153,112.7575,55.96,92,100,1.25,CN,1685474696
